temporada;data;time_casa;time_fora;gols_casa_ft;gols_fora_ft;resultado_ft;odd_pinnacle_casa;odd_pinnacle_empate;odd_pinnacle_fora;odd_media_casa;odd_media_empate;odd_media_fora
2012;2012-08-05;Nautico;Santos;3;0;H;2,17;3,31;3,87;2,11;3,23;3,34
2012;2012-08-08;Internacional;Nautico;0;0;D;1,41;5;9;1,39;4,34;7,83
2012;2012-08-08;Sport Recife;Vasco;0;2;A;3,1;3,27;2,54;3,02;3,18;2,29
2012;2012-08-09;Bahia;Portuguesa;0;0;D;2,63;3,15;3,1;2,43;3,12;2,85
2012;2012-08-09;Corinthians;Atletico GO;1;1;D;1,6;4,08;6,37;1,47;3,9;6,89
2012;2012-08-09;Botafogo RJ;Palmeiras;1;2;A;1,83;3,63;5,03;1,81;3,37;4,29
2012;2012-08-09;Figueirense;Flamengo RJ;0;2;A;2,31;3,39;3,43;2,28;3,24;2,99
2012;2012-08-09;Santos;Cruzeiro;4;2;H;2,35;3,49;3,24;2,3;3,2;2,99
2012;2012-08-10;Atletico-MG;Coritiba;1;0;H;1,38;5,3;9;1,36;4,48;7,97
2012;2012-08-10;Fluminense;Sao Paulo;2;1;H;2,21;3,31;3,74;2,07;3,19;3,48
2012;2012-08-10;Ponte Preta;Gremio;0;0;D;2,8;3,68;2,54;2,73;3,27;2,43
2012;2012-08-11;Bahia;Cruzeiro;0;1;A;2,82;3,41;2,68;2,79;3,12;2,48
2012;2012-08-11;Santos;Atletico GO;2;2;D;1,9;3,5;4,76;1,82;3,36;4,18
2012;2012-08-11;Sport Recife;Figueirense;0;1;A;1,74;3,65;5,84;1,66;3,52;5,04
2012;2012-08-12;Flamengo RJ;Nautico;2;0;H;1,93;3,57;4,53;1,81;3,4;4,21
2012;2012-08-12;Atletico-MG;Vasco;1;0;H;1,78;3,74;5,26;1,8;3,38;4,33
2012;2012-08-12;Coritiba;Corinthians;1;2;A;2,77;3,37;2,76;2,53;3,18;2,67
2012;2012-08-12;Internacional;Ponte Preta;2;1;H;1,54;4,34;7,02;1,53;3,8;6,1
2012;2012-08-12;Sao Paulo;Gremio;1;2;A;2,31;3,3;3,5;2,11;3,27;3,33
2012;2012-08-12;Fluminense;Palmeiras;1;0;H;1,83;3,5;5,25;1,73;3,44;4,68
2012;2012-08-12;Portuguesa;Botafogo RJ;1;1;D;2,49;3,43;3,05;2,49;3,18;2,73
2012;2012-08-15;Cruzeiro;Fluminense;1;1;D;2,58;3,28;3,01;2,43;3,17;2,79
2012;2012-08-15;Gremio;Portuguesa;1;2;A;1,63;3,77;6,94;1,54;3,73;6,15
2012;2012-08-16;Atletico GO;Atletico-MG;1;1;D;3,76;3,37;2,16;3,62;3,3;1,98
2012;2012-08-16;Ponte Preta;Bahia;0;2;A;1,61;4,15;6,19;1,62;3,63;5,21
2012;2012-08-16;Botafogo RJ;Sport Recife;2;0;H;1,41;4,93;8,82;1,41;4,19;7,39
2012;2012-08-16;Nautico;Sao Paulo;3;0;H;2,45;3,58;2,96;2,41;3,24;2,77
2012;2012-08-16;Palmeiras;Flamengo RJ;1;0;H;1,79;3,7;5,2;1,82;3,43;4,17
2012;2012-08-17;Corinthians;Internacional;1;0;H;2,06;3,44;4,09;2,03;3,19;3,62
2012;2012-08-17;Figueirense;Santos;1;3;A;2,68;3,49;2,77;2,58;3,2;2,59
2012;2012-08-17;Vasco;Coritiba;2;2;D;1,73;3,96;5,26;1,61;3,68;5,32
2012;2012-08-18;Fluminense;Sport Recife;1;0;H;1,53;4,42;6,82;1,46;4,07;6,8
2012;2012-08-18;Nautico;Bahia;1;0;H;2,02;3,38;4,21;1,88;3,38;3,95
2012;2012-08-19;Sao Paulo;Ponte Preta;3;0;H;1,63;4,26;5,67;1,59;3,77;5,34
2012;2012-08-19;Atletico-MG;Botafogo RJ;3;2;H;1,78;3,9;4,84;1,75;3,46;4,45
2012;2012-08-19;Coritiba;Cruzeiro;4;0;H;1,89;3,63;4,51;1,88;3,45;3,83
2012;2012-08-19;Gremio;Figueirense;4;0;H;1,42;4,7;9,46;1,4;4,26;7,5
2012;2012-08-19;Santos;Corinthians;3;2;H;2,27;3,36;3,46;2,21;3,2;3,14
2012;2012-08-19;Atletico GO;Palmeiras;2;1;H;2,7;3,52;2,7;2,5;3,23;2,67
2012;2012-08-19;Flamengo RJ;Vasco;1;0;H;2,95;3,17;2,7;2,76;3,1;2,5
2012;2012-08-19;Portuguesa;Internacional;1;1;D;3,24;3,35;2,38;3,11;3,17;2,44
2012;2012-08-25;Palmeiras;Santos;1;2;A;2,52;3,55;2,88;2,46;3,26;2,7
2012;2012-08-25;Vasco;Fluminense;1;2;A;3,32;3,37;2,34;3;3,17;2,32
2012;2012-08-26;Ponte Preta;Portuguesa;2;1;H;2,64;3,24;2,96;2,4;3,17;2,87
2012;2012-08-26;Botafogo RJ;Flamengo RJ;0;0;D;2,52;3,29;3,08;2,29;3,21;3,02
2012;2012-08-26;Corinthians;Sao Paulo;1;2;A;2,22;3,54;3,42;2,21;3,26;3,11
2012;2012-08-26;Figueirense;Coritiba;3;1;H;3,03;3,42;2,48;2,71;3,24;2,48
2012;2012-08-26;Internacional;Gremio;0;1;A;2,33;3,35;3,35;2,21;3,21;3,15
2012;2012-08-26;Bahia;Atletico GO;1;1;D;2,06;3,62;3,79;2,05;3,27;3,51
2012;2012-08-26;Cruzeiro;Atletico-MG;2;2;D;3,22;3,37;2,39;3,2;3,23;2,18
